time,o,h,l,c,volume,complete
2020-08-11 08:50:30,1987.656,1987.776,1987.378,1987.597,24,True
2020-08-11 08:51:00,1987.556,1987.736,1987.474,1987.532,21,True
2020-08-11 08:51:30,1987.49,1987.497,1987.206,1987.38,26,True
2020-08-11 08:52:00,1987.34,1987.493,1987.084,1987.084,47,True
2020-08-11 08:52:30,1987.026,1987.588,1986.985,1987.536,28,True
2020-08-11 08:53:00,1987.496,1988.247,1987.353,1988.247,26,True
2020-08-11 08:53:30,1988.299,1988.644,1987.924,1988.251,45,True
2020-08-11 08:54:00,1988.204,1988.578,1988.204,1988.486,21,True
2020-08-11 08:54:30,1988.53,1988.53,1988.432,1988.514,5,True
2020-08-11 08:55:00,1988.466,1988.466,1987.107,1987.107,35,True
2020-08-11 08:55:30,1987.158,1987.158,1986.105,1986.646,63,True
2020-08-11 08:56:00,1986.602,1986.897,1986.324,1986.859,34,True
2020-08-11 08:56:30,1986.808,1987.638,1986.754,1987.546,29,True
2020-08-11 08:57:00,1987.595,1988.184,1987.595,1988.184,20,True
2020-08-11 08:57:30,1988.226,1988.406,1988.002,1988.002,18,True
2020-08-11 08:58:00,1987.956,1987.956,1987.607,1987.874,28,True
2020-08-11 08:58:30,1987.916,1988.528,1987.916,1988.376,21,True
2020-08-11 08:59:00,1988.334,1988.94,1988.334,1988.712,49,True
2020-08-11 08:59:30,1988.761,1989.542,1988.7,1989.528,60,True
2020-08-11 09:00:00,1989.57,1991.252,1989.57,1990.933,110,True
2020-08-11 09:00:30,1990.891,1992.098,1990.659,1992.098,68,True
2020-08-11 09:01:00,1992.038,1992.563,1991.628,1992.358,87,True
2020-08-11 09:01:30,1992.314,1992.36,1991.252,1991.252,70,True
2020-08-11 09:02:00,1991.19,1993.486,1991.038,1992.566,112,True
2020-08-11 09:02:30,1992.517,1993.886,1992.313,1993.83,59,True
2020-08-11 09:03:00,1993.77,1993.77,1993.166,1993.712,41,True
2020-08-11 09:03:30,1993.668,1996.484,1993.338,1995.726,105,True
2020-08-11 09:04:00,1995.676,1995.879,1994.522,1994.95,128,True
2020-08-11 09:04:30,1995.036,1996.006,1994.782,1995.02,48,True
2020-08-11 09:05:00,1995.082,1995.186,1994.206,1994.228,50,True
2020-08-11 09:05:30,1994.181,1994.277,1993.956,1994.042,26,True
2020-08-11 09:06:00,1993.999,1993.999,1993.536,1993.781,29,True
2020-08-11 09:06:30,1993.832,1993.93,1993.476,1993.844,27,True
2020-08-11 09:07:00,1993.894,1994.289,1993.879,1994.241,31,True
2020-08-11 09:07:30,1994.314,1994.809,1994.116,1994.141,42,True
2020-08-11 09:08:00,1994.092,1994.092,1992.288,1992.288,50,True
2020-08-11 09:08:30,1992.356,1993.008,1992.356,1992.908,29,True
2020-08-11 09:09:00,1992.851,1993.234,1992.543,1992.596,37,True
2020-08-11 09:09:30,1992.638,1993.354,1992.406,1992.965,32,True
2020-08-11 09:10:00,1992.92,1993.174,1992.736,1993.079,25,True
2020-08-11 09:10:30,1993.12,1993.374,1993.12,1993.243,21,True
2020-08-11 09:11:00,1993.202,1993.523,1993.159,1993.523,15,True
2020-08-11 09:11:30,1993.478,1994.083,1993.352,1993.822,52,True
2020-08-11 09:12:00,1993.758,1993.758,1993.248,1993.248,22,True
2020-08-11 09:12:30,1993.2,1993.272,1992.9,1993.146,19,True
2020-08-11 09:13:00,1993.098,1994.204,1992.894,1994.204,45,True
2020-08-11 09:13:30,1994.254,1994.502,1993.942,1994.502,36,True
2020-08-11 09:14:00,1994.558,1995.373,1994.499,1994.995,70,True
2020-08-11 09:14:30,1994.953,1995.572,1994.806,1994.826,50,True
2020-08-11 09:15:00,1994.868,1995.404,1994.868,1995.362,45,True
2020-08-11 09:15:30,1995.32,1995.32,1994.644,1994.704,23,True
2020-08-11 09:16:00,1994.752,1994.752,1993.873,1994.168,36,True
